title,country,release_year,genre,description,Streaming Service
Buried Truth of the Maya,United States,2020,"Documentary, Historical",A high-tech archaeological team explores the hidden secrets of Chichen Itza.,Disney
Dory's Reef Cam,United States,2020,"Animation, Family",Dive into the waters below and watch the aquatic wildlife from the world of Nemo and Dory.,Disney
Into the Woods,United States,2014,"Action-Adventure, Fantasy, Musical",A baker and his wife's desperation to have a child sends them on a quest to reverse a witch’s curse.,Disney
"Miraculous World: New York, United Heroez","United Kingdom, United States, France",2020,"Action-Adventure, Animation, Fantasy",Marinette’s class is headed to New York!,Disney
Disney Channel's Epic Holiday Showdown,United States,2020,"Fantasy, Variety",DC stars try to save the holidays from Scrooge.,Disney
Disney Holiday Magic Quest,United States,2020,Movies,ZOMBIES stars race to save the holiday magic!,Disney
Gender Revolution: A Journey With Katie Couric,United States,2017,Documentary,Katie Couric explores questions about gender identity with experts and everyday people.,Disney
High School Musical: The Musical: The Holiday Special,United States,2020,"Drama, Music, Romance",The cast of High School Musical: The Musical: The Series celebrates the holidays with music & more!,Disney
Ralph Breaks the Internet,United States,2018,"Action-Adventure, Animation, Comedy",Ralph and Vanellope are swept into the internet.,Disney
Safety,United States,2020,"Biographical, Drama, Sports",A drama inspired by the empowering story of former Clemson University safety Ray McElrathbey.,Disney
Anastasia,United States,1997,"Animation, Family, Fantasy","A girl heads to Paris to learn if she is the long lost princess, Anastasia.",Disney
Godmothered,United States,2020,"Comedy, Family, Fantasy",An inexperienced fairy godmother-in-training tries to prove that people still need fairy godmothers.,Disney
Man vs. Shark,United States,2019,"Animals & Nature, Documentary",Marine biologist attempts to get bitten by a deadly tiger shark and survive,Disney
Mulan,"United States, Canada, Hong Kong",2020,"Action-Adventure, Coming of Age, Drama",A young woman risks it all to be a great Chinese warrior in Disney’s MULAN.,Disney
Sky High,United States,2005,"Action-Adventure, Comedy, Family",It takes inner and outer strength to make a name for yourself when you're the son of heroes.,Disney
The Disney Holiday Singalong,United States,2020,"Family, Music, Variety",A festive musical event with more Disney melodies and classic holiday songs.,Disney
The Nutcracker and the Four Realms,United States,2018,"Action-Adventure, Family, Fantasy",From Disney comes the reimagined tale of The Nutcracker.,Disney
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",United States,2014,"Comedy, Coming of Age, Family",It's one calamity after another during the worst day of Alexander's life.,Disney
Black Beauty,United States,2020,"Animals & Nature, Coming of Age, Drama",A wild horse and a teenage girl forge an unbreakable bond which keeps them connected for a lifetime.,Disney
From Our Family to Yours,United Kingdom,2020,"Animation, Family","A granddaughter brings joy on Christmas by mending a beloved Mickey, evoking memories of the past.",Disney
Folklore: the long pond studio sessions,United States,2020,"Documentary, Music",An intimate musical concert featuring Taylor Swift performing every song from “folklore.”,Disney
