title,country,release_year,genre,description,Streaming Service
47 Meters Down: Uncaged (4K UHD),"United Kingdom, United States",2019,"Action, Adventure, Drama",Four teen girls diving in a ruined underwater city quickly learn they've entered the territory of the deadliest shark species in the claustrophobic labyrinth of submerged caves.,Amazon
Wounded by the wind,Spain,2021,"Arthouse, Drama, LGBTQ","His father's death forces David to take charge of his legacy. Among their belongings is something unexpected: letters of love of another man. Baffled by the discovery, he decides to visit the alleged lover of his father and discover the truth.",Amazon
The Rape of Nanking,Canada,2007,"Documentary, Special Interest","In 1937, Japanese troops entered the Chinese city of Nanking and began raping and murdering its citizens in an orgy of violence that has few parallels in modern history. This polished film follows the struggle of one young woman to bring one of the darkest chapters of history to light.",Amazon
Reaching For The Moon,Brazil,2014,"LGBTQ, Romance","Set in 1950s Brazil, this sumptuous drama recounts Pulitzer Prize-winning poet Elizabeth Bishop (Miranda Otto, ""Lord of the Rings"") and her love affair with famed architect Lota de Macedo Soares. From Oscar-nominated Brazilian director Bruno Barreto (""Four Days in September""), ""Reaching for the Moon"" is an intimate snapshot of the search for inspiration, wherever and however you find it.",Amazon
Historias lamentables,Spain,2020,Comedy,"Javier Fesser's satirical anthology tells the surreal stories of a gift for Don Horacio, a trip to the beach for Bermejo, a life-changing relationship between Tina and the young immigrant Ayoub, and a new client for a company that specializes in excuses.",Amazon
Garnet's Gold,United Kingdom,2019,Documentary,"20 years ago, Garnet Frost got lost in the desolate Scottish wilderness where he resigned himself to dying. By chance, he was saved by a fisherman and since has been haunted by a memento from his ordeal. He believes an unusual wooden staff he found is actually a marker for one of history's most famous lost treasures. Now, Garnet is ready to return to the mysterious loch in his quest to find gold.",Amazon
Biswa Kalyan Rath: Sushi,India,2019,Comedy,"A carefully assorted platter of raw but delicate jokes skillfully assembled with great care and precision from thinly sliced observations caught from the sea of existence of humanity on planet earth that leaves your soul feeling cheerful, happy, content and light.",Amazon
World Trade Center,United States,2006,"Drama, Suspense","Nicolas Cage stars in the unforgettable true story of the courageous rescue and survival of two Port Authority policemen who were trapped in the rubble on September 11, 2001 after they volunteered to go in and help.",Amazon
Wonderstruck,United States,2017,"Drama, Kids","Ben and Rose are children from two different eras who secretly wish their lives were different. Ben longs for the father he has never known, while Rose dreams of a mysterious actress whose life she chronicles in a scrapbook. When Ben discovers a puzzling clue in his home and Rose reads an enticing headline in the newspaper, both children set out on quests that unfold with mesmerizing symmetry.",Amazon
We Were Children,Canada,2012,Drama,"As young children, Lyna and Glen were taken from their homes and placed in church-run boarding schools. The trauma of this experience was made worse by years of untold physical, sexual and emotional abuse, the effects of which persist in their adult lives. The profound impact of the Canadian government's residential school system is conveyed unflinchingly through their eyes.",Amazon
The Pollinators,United States,2020,Documentary,Billions of honey bees are trucked around the US pollinating crops critical to what we eat. The Pollinators tells the story of this migration with beekeepers and experts who warn that the bees and our food supply are in peril.,Amazon
Never Grow Old,"Ireland, Belgium, France, Luxembourg, United Kingdom",2019,"Action, Adventure, Western","After a vicious outlaw (John Cusack) takes over a peaceful frontier town, an undertaker (Emile Hirsch) must choose between profits and survival in this gritty western.",Amazon
It's A Wonderful Life,United States,1946,"Drama, Fantasy","After George Bailey wishes he had never been born, an angel is sent to earth to make George's wish come true. George starts to realize how many lives he has changed and impacted, and how they would be different if he was never there.",Amazon
Aeon Flux,"United States, Germany, Brazil, Italy",2005,"Action, Science Fiction","Academy Award -winner Charlize Theron stars as Aeon Flux, the underground operative fighting totalitarian rule in 25th-century Earth's last living city.",Amazon
Alison,South Africa,2017,"Documentary, Special Interest","In 1994, Alison Botha was abducted at knife-point by two men outside her home in South Africa. Driven into a nature reserve off the main road, she was raped, disembowelled, almost decapitated and left for dead. Against extraordinary odds, Alison survived this horrific attack. But this was only the beginning of her struggle. This is the remarkable story of her fight for justice and recovery.",Amazon
Trust Me,United States,2007,Comedy,"Danny Marrs, a young huckster from small town America, arrives in Hollywood with a line of patter and a wannabe actress girlfriend. Things turn interesting when he meets Joe, a janitor who does great impressions and loves old movies.",Amazon
The Priest,India,2021,"Horror, Suspense","A priest and a police officer are trying to solve a set of mysterious suicides. As their investigation closes in, they discover another crime with even farther-reaching consequences",Amazon
Sultan,"United States, India",2016,"Drama, International, Romance","Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds staked up against him. But when he has nothing to lose and everything to gain in this fight for his life match, he must literally fight for his life. Sultan believes he’s got what it takes, but this time, it’s going to take everything he’s got.",Amazon
Nocturne,United States,2020,Suspense,"Welcome to the Blumhouse! Inside the halls of an elite arts academy, a timid music student begins to outshine her more accomplished and outgoing twin sister when she discovers a mysterious notebook belonging to a recently deceased classmate.",Amazon
"Jeff, Who Lives at Home",United States,2012,"Comedy, Drama",30-year-old slacker (Jason Segel) finds his true destiny as he helps his brother (Ed Helms) stalk his possibly cheating wife in this offbeat comedy about fate and family.,Amazon
Beta,India,1992,"Drama, Romance","Raju, heir to millions of riches, is devoted to his manipulative stepmother who, in turn, exploits his love and simplicity and ploys to extort his wealth. But when Raju's newly-wed wife sees through her plan, she staunchly opposes her, which sets off a war of wits between the two women.",Amazon
Plato's Reality Machine,United States,2013,Science Fiction,"For Charles, video-games are a much-needed escape from reality. But when a virtual vixen leads him on a mysterious quest intertwined with the lovelorn lives of five New Yorkers, they will all learn that in the game of life, every heart is a moving target.",Amazon
Officer,India,2018,"Action, Drama, International","Narayan Pasari is an ace cop in Mumbai. When he is accused of a fake encounter, Shivaji Rao(Nagarjuna), an honest cop from Hyderabad is appointed as the Chief Investigation Officer. Even after Pasari is arrested, he manages to kill all the witnesses and come out on a clean chit. When Pasari himself starts a ruthless mafia company still being a cop, he becomes a tough shell for Shivaji to crack.",Amazon
Jade,United States,1995,"Drama, Suspense","Corelli is up to his neck in a case that may lead where he doesn't want to go. Chazz Palminteri portrays Matt, an attorney and Corelli's longtime pal. Linda Fiorentino is Matt's wife Trina: a pyschologist who's capable of anything, even murder.",Amazon
"Cryptopia: Bitcoin, Blockchains, and the Future of the Internet","Australia, United States, Germany",2020,Documentary,"5 years after his first documentary on the topic, award-winning filmmaker Torsten Hoffmann revisits the big brains and big egos behind Bitcoin, Blockchains and Web3 in this thought-provoking and entertaining crash course about the controversial technology",Amazon
Uncle Frank,United States,2020,"Comedy, Drama, LGBTQ","In 1973, when Frank Bledsoe and his 18-year-old niece Beth take a road trip from Manhattan to Creekville, South Carolina for the family patriarch's funeral, they're unexpectedly joined by Frank's lover Walid.",Amazon
Chemical Hearts,United States,2020,Drama,"When a hopelessly romantic high school senior (Austin Abrams) falls for a mysterious new classmate (Lili Reinhart), it sets them both on an unexpected journey that teaches them about love, loss, and most importantly themselves.",Amazon
7500,"Germany, Austria, United States",2020,"Drama, Suspense","When terrorists try to seize control of a Berlin-Paris flight, a soft-spoken young American co-pilot struggles to save the lives of the passengers and crew while forging a surprising connection with one of the hijackers.",Amazon
Pataakha,India,2018,"Comedy, Drama","Based on Charan Singh Pathik's short story Do Behnein, Pataakha narrates the story of two feuding sisters who realize the true nature of their relationship only after marriage separates them.",Amazon
One Child Nation,United States,2019,Documentary,"Included with Prime November 8. In the 2019 Sundance U.S. Grand Jury Prize-winning documentary One Child Nation, Chinese-born filmmakers Nanfu Wang (Hooligan Sparrow) and Jialing Zhang expose the devastating consequences of China’s One-Child Policy through the stories of those who lived through it.",Amazon
Anu Menon: Wonder Menon,India,2019,"Arts, Entertainment, and Culture","In her first special Wonder Menon, Anu Menon talks about her Gujju husband, her Malayali parents, the mayhem of marriage, motherhood and her traumatic travels.",Amazon
Raabta,India,2017,"Drama, International, Romance",A woman crosses paths with her reincarnated lover from a previous lifetime.,Amazon
Saina,India,2021,"Drama, Sports",World Champion. Olympic Medallist. The Doyen Of Indian Badminton. Saina Nehwal Is All Of This And Much More. This Biopic Chronicles The Inspiring Story Of A Gifted Youngster's Ascendance To The Pinnacle Of The Badminton World Through Sheer Passion And Perseverance - A Journey That Has Since Inspired And Empowered An Entire Nation.,Amazon
Nene Raju Nene Mantri,India,2017,"Drama, International",NRNM's story is set in Uravakonda village in Rayalaseema. Jogendra (Rana) is a good-natured financier. He loves his wife Radha (Kajal) so much that he rechristens his name as Radha Jogendra. An unfortunate incident involving the village Sarpanch (Pradeep Rawat) and his wife results in Radha’s miscarriage.,Amazon
Roberrt (4K UHD),India,2021,Action,"Raghava lives in Lucknow with his son Arjun and is the head cook in a Brahmin's catering unit. He leads a peaceful existence, wanting the best for his son. All seems to go well, until some skeletons come tumbling out of his closet and he is forced to take on his original avatar.",Amazon
Roberrt,India,2021,Action,"Raghava lives in Lucknow with his son Arjun and is the head cook in a Brahmin's catering unit. He leads a peaceful existence, wanting the best for his son. All seems to go well, until some skeletons come tumbling out of his closet and he is forced to take on his original avatar.",Amazon
Late Night,United States,2019,"Comedy, Drama","Included with Prime. After almost 30 years, a groundbreaking talk-show host (Emma Thompson) suspects she may soon be losing her coveted seat on late-night television unless she manages a game-changing transformation in Late Night, the first feature film from Emmy-nominated writer and producer Mindy Kaling.",Amazon
Crown Heights,United States,2017,Drama,"When Colin Warner is wrongfully convicted of murder, his best friend, Carl King, devotes his life to proving Colin’s innocence. Adapted from This American Life, this is the incredible true story of their harrowing quest for justice.",Amazon
Available,United States,2016,"Action, Drama, Suspense","James Kane receives an unexpected invitation to attend Oktoberfest from an old girlfriend in Germany and is soon plunged into the nightmare world of modern espionage, where he must confront the demons of his past if he is to survive.",Amazon
Winter Warrior,United Kingdom,2003,"Action, Adventure, Drama","In the autumn of 573AD, the eight-year civil war that divides the Celtic nations in post Romano-Britain ends at the battle of Arthuret. Fingal a Celtic mercenary soldier is returning home to his Roman wife, Lillian, who lives with his people of Caledon. Weighed down by his travel bags full of the treasures of war, he rescues the Jewish slave girl, Jessica from her Angle captors.",Amazon
Rohan Joshi: Wake N Bake,India,2019,Comedy,"“Hysterical”, “unmissable”, “magnificent” are all words. Wake N Bake, Rohan Joshi’s first stand-up special also has words. Words about life in one’s thirties, mediocre education, home renovation, and 420-friendly living. Some of those words are even funny. It’s an hour of comedy you’ll never forget for five minutes.",Amazon
Adithya Varma,India,2019,"Drama, International",Adithya Varma a short tempered house surgeon gets into a self-destructive phase addicting to drugs and alcohol when his girlfriend is forced to marry another person.,Amazon
Wajah Tum Ho,India,2016,"International, Suspense",A hooded vigilante is broadcasting murders on a news channel. Will the police catch him alive before he live-casts another death?,Amazon
Teraa Surroor,India,2016,"Action, Drama, Romance","Tara Wadia (Farah Karimaee), a singer and girlfriend of a gangster Raghu (Himesh Reshammiya) lives with her mother (Shernaz Patel). She goes to Dublin where she gets detained after being caught with drugs. Tara calls Raghu for help and now Raghu must help her and find Anirudh Brahman, the stranger who met Tara on Facebook and invited her to Ireland.",Amazon
Simran,India,2017,"Comedy, Drama","A socially criticized girl who is financially cornered, becomes an outlaw to dodge the situation.",Amazon
Sarbjit,India,2016,"Drama, International","Biopic of Sarabjit Singh, a farmer residing at Bhikiwind, Punjab, near the Indo-Pak border, crossed the border after having a couple of drinks. However, he was mistaken to be an Indian spy and was sentenced to capital punishment.",Amazon
Noor,India,2017,"Action, Comedy, Drama",A journalist's life takes a dramatic turn when she comes across an eye-opening investigative news story.,Amazon
Junooniyat,India,2016,"Drama, International, Romance","Captain Jahan Bakshi rescues a Punjabi girl, Suhani. This starts a friendship that evolves into a passionate love affair.",Amazon
Hindi Medium,India,2017,"Comedy, Drama, International",A couple want to give their daughter the best education so she will be accepted by the elite.,Amazon
Chef,India,2017,"Comedy, Drama, International",Chef Roshan Kalra sets out to find the true source of happiness and reignite his passion for food while being more present in his son's life.,Amazon
Bhoomi,India,2017,"Action, Drama, International",A revenge drama that centers on the relationship between a father and daughter.,Amazon
Mumbai Saga,India,2021,"Action, Drama","Mumbai Saga is the story of Amartya Rao who takes on the exploitative high and the mighty head-on, snatching his legitimate place under the sun. While on the face of it, Mumbai Saga is the story of the duel between Amartya Rao and Senior Inspector Vijay Sawarkar, it also is the story of hopes, aspirations, friendships and betrayals in the backdrop of early 90s.",Amazon
Ameluk - based on a story which could be true,Italy,2015,Comedy,"It's Good Friday. In Mariotto, a small town in Puglia, the Via Crucis is about to begin but the interpreter of Jesus sits on the crown of thorns. It is the beginning of the ordeal. The lighting technician, Jusuf, replaces him in the role of Christ but he is a Muslim. The news goes around the world, creating a pandemonium among the inhabitants of Mariotto. Who will restore the peace?",Amazon
The Transporter Refueled,"France, China, Belgium, Monaco",2015,Action,"Frank Martin, a former special-ops mercenary, is now living a less perilous life. But when he is engaged by a cunning femme-fatale, he must use his covert expertise and knowledge of fast cars, fast driving, and fast women in a dangerous game of chess.",Amazon
Manchester by the Sea,United States,2016,Drama,Casey Affleck leads an all-star cast in this acclaimed and poignant film about a solitary janitor whose life is transformed after he becomes the guardian of his 16-year-old nephew.,Amazon
Zaki Chan,Egypt,2005,"Comedy, Romance","Trouble follows Zaki wherever he goes, until he finds out that his father's boss needs a bodyguard for his kids and he decides to apply for the job even though he doesn't really fit the requirements.",Amazon
Rock On,India,2008,"Arts, Entertainment, and Culture, Drama, International","Four talented friends(Farhan Akthar, Purab Kholi, Arjun Rampal and Luke Kenny) pursue their passion making it big as a band, only to fail. Years later, fate brings them together with a second chance. After struggling through the rough patches, Adi, Joe, KD and Rob eventually form the country's best band, Magic and rock the nation with their outstanding live performances.",Amazon
Mike Case in: The Big Kiss Off,United States,2013,"Comedy, Suspense","Honest enough to trust. Crooked enough to get the job done. A film noir comedy about a private eye, a husband who wants to stay lost, and a wacky cast of characters.",Amazon
Karwaan,India,2018,"Comedy, Drama, International",Two friends and a chirpy teenager take a road trip from Bangalore to Kochi.,Amazon
Confessions of an Action Star,"United States, Austria",2009,"Action, Comedy, Documentary","Only a whirlwind of celebrity cameos, high-octane stunts, and outrageous action-movie spoofs could tell the almost-true story of Frank Sledge: the world's greatest action star slash male dancer.",Amazon
The Manchurian Candidate (2004),United States,2004,"Drama, Science Fiction","As the entire nation watches the presidential campaign hurtle towards Election Day, one soldier (Denzel Washington) races to uncover the conspiracy behind it - a conspiracy that seeks to destroy democracy itself.",Amazon
Brother Nature,United States,2016,"Adventure, Comedy",Roger (Taran Killam) a straight-laced politician has big plans to propose to his dream girl (Gillian Jacobs) at her family's lake house. But everything goes awry when he meets his potential brother-in-law Todd (Bobby Moynihan).,Amazon
The Double,"United States, United Arab Emirates",2011,"Action, Suspense","When a United States Senator is murdered, the evidence points to a Soviet assassin, who was long-thought to be dead.",Amazon
Guava Island,United States,2019,"Arthouse, Drama, Suspense","On Guava Island, a local musician is determined to throw a festival for everyone to enjoy. A tropical thriller starring Donald Glover and Rihanna.",Amazon
Voyage to the Planet of Prehistoric Women,United States,1968,Science Fiction,"The first expedition to Venus discovers that the planet is inhabited by prehistoric creatures, man-eating plants and a race of beautiful, telepathic women.",Amazon
Goblin,United States,2020,Horror,A young woman fights to protect her son from her abusive new husband and a ferocious creature lurking in the shadows.,Amazon
At Granny's House,United States,2015,"Horror, Suspense","A typical Midwest house. A sweet little old lady. When a caretaker moves in to help out, Granny's House becomes a macabre place of death and love.",Amazon
Ta Ra Rum Pum,"United States, India",2007,"Drama, International, Kids","When RV (Saif Ali Khan) is spotted by Harry (Jaaved Jaafery) the Manager of a failing Racing car team, everything changes for RV and the team. They shoot to the top. The dream is complete when he meets Radhika (Rani Mukerji) and both tie the knot. But when he meets with an accident, he loses everything he had once gained. RV is on the road, but can he reclaim the glory for his family?",Amazon
The Neon Demon,"United States, Belgium, Denmark, France",2016,"Horror, Suspense","When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a gropup a beauty-obsessed women who will use any means necessary to get what she has.",Amazon
Without a Paddle: Nature's Calling,United States,2009,"Action, Adventure, Comedy","Zach talks Ben into taking off time to go on an adventure of a lifetime. Our two fiends head out on the river, along with an uptight Brit to find Ben's long lost love.",Amazon
Nizhal,India,2021,Suspense,"John Baby, who is recouping from a traumatic accident, meets Nitin, a young boy who interests him with murder stories. When Baby explores the possibility of Nitin's stories by mapping the events, it matches with the real-time incidents.",Amazon
Good Newwz,India,2019,"Comedy, Drama, International",Two couples with the same surnames pursue in-vitro fertilization and wait for their upcoming babies. Trouble ensues when they find that the sperms of each couple have been mixed with each other.,Amazon
Love me tender,Switzerland,2019,"Comedy, Drama","Suffering from agoraphobia, Seconda is unable to leave her house. When she finally succeeds, new challenges push this assertive anti-super heroine's limits even further.",Amazon
Karnan,India,2021,"Action, Drama","In 1990s, young man named Karnan in a remote village Tamil Nadu. The shadows and darkness of poverty linger in Karnan’s home where he lives humbly with his mother, father and elder sister. His friend and partner in crime in the village is his grandfather, an old widower, Yeman. It is his sister and Yeman who always stand with Karnan and his glorious dreams. Karnan dreams of joining the Military.",Amazon
"You Belong to Me: Sex, Race and Murder in the South",United States,2015,Documentary,"In 1952 Ruby McCollum, a black woman, killed her white doctor in Live Oak, Fla after years of sexual abuse. The remarkable secrets and terrible truths revealed during her trial and incarceration haunted jurors and prosecutors for decades.",Amazon
The Farewell,"United States, China",2019,"Arts, Entertainment, and Culture, Comedy, Drama","In this funny, heartfelt story, Billi’s (Awkwafina) family returns to China under the guise of a fake wedding to stealthily say goodbye to their beloved matriarch – the only person that doesn’t know she only has a few weeks to live.",Amazon
Street Dancer 3D,"United Kingdom, India",2020,"Drama, International",A coming-of-age story based on the lives of street dancers.,Amazon
I'm Your Woman,United States,2020,Drama,"In this 1970s set crime drama, a woman is forced to go on the run after her husband betrays his partners, sending her and her baby on a dangerous journey.",Amazon
Saathiya,India,2002,"Drama, International, Romance","""Running away from home can’t keep a couple together. Love can. While for most Love Stories, marriage is the goal, the fact remains -marriage is just the beginning. A story of Aditya (Vivek) and Suhani (Rani Mukerji) SAATHIYA continues from where most love stories end. From the infatuation stage when a couple thinks they are in love right through to when they discover the true meaning of love.""",Amazon
Leave No Trace,"United States, Canada",2018,Drama,"Will and his daughter have lived off the grid for years until both are put into traditional housing. After clashing with new surroundings, they embark on a journey home.",Amazon
Sandeep Aur Pinky Faraar,India,2021,"Drama, Romance, Suspense","Sandeep, a bank executive & Pinky, a suspended cop, are marked for a kill. Phones tapped, accounts blocked, they escape but escaping is not freedom.",Amazon
Once Upon a Time in London,United Kingdom,2019,"Action, Drama, Suspense","The violent reign of two of London's most notorious gangsters, Jack 'Spot' Comer and Billy Hill, is grippingly brought to the big screen by visionary director Simon Rumley, in a saga of madness, mayhem and manipulation, reminiscent of British favourites Legend and Peaky Blinders. Starring Leo Gregory (Green Street), Terry Stone (Rise of the Footsoldier) and Jamie Foreman (Layer Cake).",Amazon
Major Ajay Krishna,India,2020,"Action, Comedy, Drama","Ajay Krishnaact (Mahesh Babu) is an orphan and a soldier serving in Kashmir. Professor Bharathi (Vijayashanthi) is a righteous professor and single mother of three, with one son already lost during service. How Ajay steps up when she's in trouble forms the crux of the story.",Amazon
Krishnan,India,2020,"Action, Comedy, Drama","Ajay Krishnan (Mahesh Babu) is an orphan and a soldier serving in Kashmir. Professor Bharathi (Vijayashanthi) is a righteous professor and single mother of three, with one son already lost during service. How Ajay steps up when she's in trouble forms the crux of the story.",Amazon
Antardwand,India,2010,"Drama, International","Groom Abduction which is so rampant in Bihar, Eastern UP is touched upon in Antardwand. A peep into the reality that is a feudal India refusing to die, it’s a story where everybody involved pays a heavy price for the patriarchal power play. It’s a society rotting while the country surges ahead to be a global power. Antardwand is a film that stokes the thinking viewer’s ire, concern and empathy.",Amazon
Yeh Dillagi,India,1994,"Drama, International, Romance","Sapna (Kajol) was a frequent visitor to the Saigal mansion as her father was a trusted driver of the family. When she is reminded of her social status by the rich brat Vicky Saigal (Saif Ali Khan), she leaves town to make something of herself. She returns as a successful model and Vicky falls for her. The problem - his elder brother Vijay (Akshay Kumar) is already in love with the same girl.",Amazon
Tubelight,"India, United States, United Kingdom, Canada, China",2017,"Drama, International","In a small picturesque town of North India, lives Laxman with his younger brother Bharat. Laxman's world comes crashing down, when war breaks out and Bharat gets drafted into the Army. Seeing the carnage around him and worried for his brother, the simple - minded Laxman decides to stop this conflict and get his brother back. TUBELIGHT set in 1962 tells the story of one man's unshakeable belief.",Amazon
Theri,India,2016,"Action, Drama, International",Joseph (Vijay) lives in a small town of Kerala. He lives with his 6-year old daughter (Baby Nainika as Nivi) and his close ally Rajendran. Annie (Amy Jackson) is Nivi's class teacher who develops an interest over Joseph. This peaceful life of Joseph is shaken when a group of local goons from Kerala crosses path with him.,Amazon
Tashan,India,2008,"Action, International","A cool call center executive Jimmy Cliff (Saif Ali Khan), a wannabe gangster Bachchan Pande (Akshay Kumar), a beautiful girl Pooja (Kareena Kapoor) who can't be trusted, Bhaiyyaji (Anil Kapoor) a gangster who enjoys killing people as much as he enjoys learning to speak English come together on a journey across India. A journey which will alter the course of their lives in more ways than one.",Amazon
Sketch,India,2018,"Action, Drama, International","A man who repossesses cars for a local loan shark makes the mistake of seizing a crazed gangster's prized possession, a vintage Fiat.",Amazon
Silsila,India,1981,"Drama, International, Romance","Amit (Amitabh Bachchan) decides to bury his past life along with his love for Chandni (Rekha) when he meets Shobha (Jaya Bachchan). Shobha's life has come to a standstill after her fiance and Amit’s brother Shekhar (Shashi Kapoor) dies in a crash. When fate brings Amit and Chandni face to face again, both are married to different people - but neither can ignore their feelings for each other.",Amazon
SI 3,India,2017,"Action, International","A reputed cop from Tamil Nadu takes charge in Andhra Pradesh to solve the mysterious murder of a top police officer, and takes on local thugs and criminals during the course of his mission.",Amazon
Raja The Great,India,2017,Drama,"Raja The Great, is a story of a blind man (Ravi Teja) who doesn’t let his disabilities hold him back. Mehreen Pirzaada, plays a girl who loses her parents. Mehreen is threatened by the villain. Raja discovers that the heroine is disappointed with her life and is very unhappy. Rest of the story is how Raja uses his intelligence to unite Mehreen with her family and protects her from the villian.",Amazon
Rab Ne Bana Di Jodi,India,2008,"Drama, International, Romance","This is a story of Surinder Sahni (Shahrukh Khan) - a simple, clean hearted, honest man, leading a humdrum life, when he meets his total opposite and finds love in the flamboyant, fun-loving, vivacious - Taani (Anushka Sharma). What follows is a journey filled with laughter, tears, joy, pain, music, dance...that makes us believe that there is an extraordinary love story in every ordinary couple.",Amazon
Raaz Reboot,India,2016,"Horror, International","This horror-thriller revolves around Rehaan and Shaina, who are in a complicated relationship as Shaina suspects that Rehaan is keeping a secret from her. Shaina is approached by her ex-boyfriend Aditya who steps in to help her when she begins to experience paranormal activities. As time goes by, Shaina vehemently has a hunch that Aditya isn't genuine, too. Will her instincts prove to be true?",Amazon
Ponmagal Vandhal,India,2020,"Drama, International","Ponmagal vandhal is set in Ooty in 2020. A local resident named 'Petition' Pethuraj (K.Bhagyaraj) is well known for filing cases against the general public to be in the limelight. Pethuraj reopens a cast which happened way back in 2004, involving a serial killer 'psycho' Jothi who was convicted for kidnapping and murdering five children and two youngsters.",Amazon
P!nk: All I Know So Far,United States,2021,Documentary,"A behind-the-scenes look at P!NK as she balances family and life on the road, leading up to her first Wembley Stadium performance on 2019’s “Beautiful Trauma” world tour.",Amazon
OK Jaanu,India,2017,"International, Romance","Adi and Tara move to Bombay to pursue their dreams. A chance meeting sparks off a heady, no strings attached romance until their careers pull them apart. Will ambition prevail over matters of the heart?",Amazon
Noorie,India,1979,"International, Romance","Noorie (Poonam Dhillon) is a young and beautiful girl from the valleys, who along with Yusuf (Farooq Shaikh) has a simple dream of a house, family and a lovely life. But nothing is that simple in life as Noorie and Yusuf’s dreams are torn apart at the hands of a couple of village goons for whom Noorie is just a conquest. NOORIE tells a simple and touching story of Noorie and Yusuf’s fearless love.",Amazon
Mujhse Fraaandship Karoge,India,2011,"International, Romance","If Rahul has the voice and looks, Vishal, has the brains. If Malvika, can get heads turning, Preity, can say a million things. What Vishal and Preity can't do, is spell it out to Malvika and Rahul that they heart them. So on Facebook, Vishal becomes Rahul, Preity becomes Malvika and they start chatting. They do a great job of pretending to be someone else. But how long can you fake it?",Amazon
Meri Pyaari Bindu,India,2017,"Comedy, Drama, International","A successful writer, Abhimanyu Roy (Ayushmann Khurrana) returns to his roots to write an old-fashioned love story, 3 years in the making. This writer's block is called Bindu (Parineeti Chopra). How do you contain this live wire in the pages of a book? When Abhi stumbles across an old audio cassette of their favourite playlist, it sends him down memory lane and his novel starts writing itself.",Amazon
Mere Brother Ki Dulhan,India,2011,"Comedy, International, Romance","""Kush (Imran Khan) is looking for the ideal Indian bride for his brother Luv (Ali Zafar). In his quest, Kush goes through an array of wacky encounters until he finds that perfect girl in Dimple (Katrina Kaif), the craziest girl he’s ever known. But Kush falls in love with Dimple - his brother's dulhan. What follows is an unpredictable series of events in this unusual topsy-turvy tale of love. """,Amazon
Mashaal,India,1984,"Drama, International","MASHAAL is a story about Vinod (Dilip Kumar) an honest, fearless editor of an outspoken newspaper, Raja (Anil Kapoor) a man from the slums who takes to black marketing to make his living and Vardhan (Amrish Puri) who is a powerful and respected figure of the city whose cloak of respectability hid all the social evils. In an attempt to combat Vardhan, life ends up differently for Vinod and Raja.",Amazon
Mardaani,India,2014,"Drama, International, Suspense","India is the world's hub for child sex trafficking. Shivani Shivaji Roy, Senior Inspector, Crime Branch, Mumbai Police, sets out to confront the mastermind behind a child trafficking mafia, who makes the mistake of kidnapping and smuggling a teenage girl, Pyari. What follows is a cat and mouse game between a fearless cop and a young and ruthless mafia kingpin in a war which is very personal.",Amazon
Maanagaram,India,2017,"Action, International","A City based thriller that travels on the Hyperlink plot connecting the four youngsters from the different walks of lives. Maanagaram will focalize upon Chennai city as one of the major characters in this film, where the backdrops would indeed become a prominent ingredient of this tale.",Amazon
Lamhe,India,1991,"Drama, International, Romance","Viren (Anil Kapoor) comes to India, he is captivated by Pallavi (Sridevi). When he learns she's spoken for, he returns. When he gets the news of Pallavi and her husband dying and leaving their daughter Pooja (Sridevi) behind, Viren ensures she is taken care of. 20 years on, Viren comes back to India and sees Pooja - a spitting image of her mother! What follows is a life-changing turn of events.",Amazon
Kal Ho Naa Ho,India,2003,"Comedy, Drama, International","Naina Kapur is a beautiful introvert and often keeps to herself. Her life soon changes, when she befriends her neighbour, Aman Mathur, who is jaunty and bubbly. Naina falls in love with Aman and decides to confess her love to him. She is heart-broken, when she finds out that Aman is married. But the truth unravels, and Aman has lied about being married. His lie hides a dark secret.",Amazon
Kabul Express,India,2006,"Action, International","Suhel (John Abraham) & Jai (Arshad Warsi) are journalists in search of the Taliban. Imran Khan Afridi (Salman Shahid) - a soldier, needs to escape Afghanistan. Khyber (Hanif Hum Ghum) - an Afghan is as old as the war. Jessica Beckham (Linda Arsenio) - a photojournalist risks her life to photograph the Taliban. Five people from different worlds, their paths are destined to cross in Afghanistan.",Amazon
Kabali,India,2016,"Action, Drama, International","Kabali, a revolutionary who fights for the betterment of his people in a foreign land, is falsely implicated and thrown behind bars. When he returns after his prison term, he starts a search for his wife and ends up confronting those who were the reason behind his miseries. What follows is a tale of revenge, emotion and payback.",Amazon
Kaashmora,India,2016,"Horror, International, Science Fiction","A fake shaman and his family find themselves trapped in a dilapidated palace, which is under the control of an evil ghost.",Amazon
Joker,India,2016,"Comedy, Drama, International","Mannar (protagonist), a villager, who declares himself as Indian President, protests government for absurdities. On a trial, he reveals his past. When everyone sees him as Joker, audience are questioned at the end.",Amazon
Jab Tak Hai Jaan,India,2012,"Drama, International, Romance","Samar (Shah Rukh Khan) meets Meera (Katrina Kaif) in London & they fall in love. Samar however meets with a serious accident & Meera vows to God to leave Samar, if He allowed him to live. Samar angered with God, becomes a bomb disposal chief in the Indian Army. Here he meets Akira (Anushka Sharma). Is Akira able to unravel the mysteries, does Samar win the battle, or does God surrender to his love?",Amazon
